KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000001773.14	0	3	4	4	0	0	1	0	0	0	0	0
ENSMUSG00000001774.8	1424	1090	1068	1145	1923	1254	1447	1384	801	1167	1486	1198
ENSMUSG00000001783.3	2092	1616	1519	1623	2130	1703	2128	2963	1163	1840	2144	1453
ENSMUSG00000001785.13	747	799	834	619	860	624	605	1130	595	819	1124	768
ENSMUSG00000001786.14	224	171	181	177	313	137	163	272	153	176	239	180
ENSMUSG00000001794.13	400	826	844	475	529	382	301	1094	595	739	971	555
ENSMUSG00000001802.16	378	590	400	347	496	381	210	743	587	473	653	509
ENSMUSG00000001804.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001815.15	2	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001819.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001823.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827.12	0	1	0	3	0	0	0	0	0	1	0	2
ENSMUSG00000001829.17	271	319	373	198	303	218	115	374	295	290	372	261
ENSMUSG00000001833.17	4334	3660	3611	3523	5022	3982	5077	5249	2759	4052	5293	3591
ENSMUSG00000001844.10	187	316	219	184	344	222	129	388	319	257	383	308
ENSMUSG00000001847.14	1807	2231	2084	1778	2223	1595	1205	3540	1782	2174	2963	1913
ENSMUSG00000001855.15	190	212	258	130	264	179	148	347	138	196	227	211
ENSMUSG00000001864.13	73	85	37	68	74	56	60	105	71	52	143	82
ENSMUSG00000001865.2	2	0	0	0	2	0	2	0	2	0	0	0
ENSMUSG00000001870.15	15	30	35	16	22	48	28	32	26	22	35	27
ENSMUSG00000001891.16	732	774	792	613	919	650	656	1093	502	728	941	682
ENSMUSG00000001901.15	4	1	4	1	3	1	0	6	5	3	6	0
ENSMUSG00000001909.15	546	744	551	687	903	453	382	1232	567	760	939	617
ENSMUSG00000001910.4	353	618	469	438	547	407	223	892	580	507	673	545
ENSMUSG00000001911.16	631	1093	1295	782	764	731	245	1950	1029	1163	1592	1002
ENSMUSG00000001918.17	316	182	254	224	356	294	341	377	198	243	260	301
ENSMUSG00000001924.15	1639	2630	3469	1851	1979	1753	996	4363	2290	2696	3672	2267
ENSMUSG00000001930.17	91	59	82	39	23	62	45	107	67	68	73	68
ENSMUSG00000001942.8	49	56	51	70	47	37	34	77	29	52	94	78
ENSMUSG00000001943.8	8	6	0	2	1	1	3	1	2	2	0	0
ENSMUSG00000001946.14	184	309	163	126	177	138	133	294	199	246	235	209
